pl_name,disc_year,x,y,z
Kepler-279 c,2013,229.72344708694632,-733.4388932618918,696.7734837874232
Kepler-279 d,2013,229.72344708694632,-733.4388932618918,696.7734837874232
Kepler-28 b,2011,121.9235480763515,-299.705506953936,295.75305646257965
Kepler-28 c,2011,121.9235480763515,-299.705506953936,295.75305646257965
Kepler-280 b,2014,210.90965233805576,-538.4398795603462,523.9875045940316
Kepler-280 c,2014,210.90965233805576,-538.4398795603462,523.9875045940316
Kepler-281 b,2014,506.1435347905317,-1131.0665639127224,1229.2692352322226
Kepler-281 c,2014,506.1435347905317,-1131.0665639127224,1229.2692352322226
Kepler-281 d,2021,506.1435347905317,-1131.0665639127224,1229.2692352322226
Kepler-282 b,2014,240.4941341997956,-918.1949447333706,942.4866720445298
Kepler-282 c,2014,240.4941341997956,-918.1949447333706,942.4866720445298
Kepler-282 d,2013,240.4941341997956,-918.1949447333706,942.4866720445298
Kepler-282 e,2013,240.4941341997956,-918.1949447333706,942.4866720445298
Kepler-283 b,2014,125.85576819974642,-287.8842529724181,346.97979096391833
Kepler-283 c,2014,125.85576819974642,-287.8842529724181,346.97979096391833
Kepler-284 b,2014,272.847677427934,-638.2444354753081,763.6222809786179
Kepler-284 c,2014,272.847677427934,-638.2444354753081,763.6222809786179
Kepler-285 b,2014,200.9177264603159,-512.9227952998813,613.212238426284
Kepler-285 c,2014,200.9177264603159,-512.9227952998813,613.212238426284
Kepler-286 b,2014,288.1994160673695,-763.6573298855922,915.9309480470866
Kepler-286 c,2014,288.1994160673695,-763.6573298855922,915.9309480470866
Kepler-286 d,2014,288.1994160673695,-763.6573298855922,915.9309480470866
Kepler-286 e,2014,288.1994160673695,-763.6573298855922,915.9309480470866
Kepler-287 b,2014,198.05028532942305,-517.8983706600849,625.475260700664
Kepler-287 c,2014,198.05028532942305,-517.8983706600849,625.475260700664
Kepler-288 b,2014,298.3108839302244,-870.481679556619,761.0955817668738
Kepler-288 c,2014,298.3108839302244,-870.481679556619,761.0955817668738
Kepler-288 d,2014,298.3108839302244,-870.481679556619,761.0955817668738
Kepler-289 b,2014,238.0658310419068,-457.9965358971448,479.3711808614922
Kepler-289 c,2014,238.0658310419068,-457.9965358971448,479.3711808614922
Kepler-289 d,2014,238.0658310419068,-457.9965358971448,479.3711808614922
Kepler-29 b,2011,267.11346152934783,-495.081554963973,613.7215847827614
Kepler-29 c,2011,267.11346152934783,-495.081554963973,613.7215847827614
Kepler-290 b,2014,144.26158304072288,-489.8421805832605,470.9032840287069
Kepler-290 c,2014,144.26158304072288,-489.8421805832605,470.9032840287069
Kepler-290 d,2023,144.26158304072288,-489.8421805832605,470.9032840287069
Kepler-291 b,2014,405.59189165100895,-1254.5160919649609,1205.4855382077042
Kepler-291 c,2014,405.59189165100895,-1254.5160919649609,1205.4855382077042
Kepler-292 b,2014,339.005615166664,-702.3239027126326,712.7175590400227
Kepler-292 c,2014,339.005615166664,-702.3239027126326,712.7175590400227
Kepler-292 d,2014,339.005615166664,-702.3239027126326,712.7175590400227
Kepler-292 e,2014,339.005615166664,-702.3239027126326,712.7175590400227
Kepler-292 f,2014,339.005615166664,-702.3239027126326,712.7175590400227
Kepler-293 b,2014,202.6812146950711,-690.5173835362859,657.278900416659
Kepler-293 c,2014,202.6812146950711,-690.5173835362859,657.278900416659
Kepler-294 b,2014,281.46639515109786,-898.597873564309,977.12571869046
Kepler-294 c,2014,281.46639515109786,-898.597873564309,977.12571869046
Kepler-295 b,2014,315.9252859561251,-1151.2089851050353,1209.1963208705918
Kepler-295 c,2014,315.9252859561251,-1151.2089851050353,1209.1963208705918
Kepler-295 d,2014,315.9252859561251,-1151.2089851050353,1209.1963208705918
Kepler-297 b,2014,104.22382401030087,-444.0411946488843,520.5983015372423
Kepler-297 c,2014,104.22382401030087,-444.0411946488843,520.5983015372423
Kepler-297 d,2023,104.22382401030087,-444.0411946488843,520.5983015372423
Kepler-298 b,2014,76.97615325732497,-332.3656651501422,390.05528079364376
Kepler-298 c,2014,76.97615325732497,-332.3656651501422,390.05528079364376
Kepler-298 d,2014,76.97615325732497,-332.3656651501422,390.05528079364376
Kepler-299 b,2014,159.0442086219985,-677.7151694731999,789.0602678944836
Kepler-299 c,2014,159.0442086219985,-677.7151694731999,789.0602678944836
Kepler-299 d,2014,159.0442086219985,-677.7151694731999,789.0602678944836
Kepler-299 e,2014,159.0442086219985,-677.7151694731999,789.0602678944836
Kepler-30 b,2012,187.42128425541537,-685.8658232628594,574.6837143412114
Kepler-30 c,2012,187.42128425541537,-685.8658232628594,574.6837143412114
Kepler-30 d,2012,187.42128425541537,-685.8658232628594,574.6837143412114
Kepler-300 b,2014,310.3125401976226,-656.806687798758,823.9560089949728
Kepler-300 c,2014,310.3125401976226,-656.806687798758,823.9560089949728
Kepler-301 b,2014,113.47169820460591,-455.68932443840674,544.6752691791976
Kepler-301 c,2014,113.47169820460591,-455.68932443840674,544.6752691791976
Kepler-301 d,2014,113.47169820460591,-455.68932443840674,544.6752691791976
Kepler-302 b,2014,418.0490101856015,-925.1469292284936,967.7648685615364
Kepler-302 c,2014,418.0490101856015,-925.1469292284936,967.7648685615364
Kepler-303 b,2014,34.48427977113752,-147.77284826854347,144.78966954609697
Kepler-303 c,2014,34.48427977113752,-147.77284826854347,144.78966954609697
Kepler-304 b,2014,136.64821919352417,-300.65605368171,282.6364828393166
Kepler-304 c,2014,136.64821919352417,-300.65605368171,282.6364828393166
Kepler-304 d,2014,136.64821919352417,-300.65605368171,282.6364828393166
Kepler-304 e,2016,136.64821919352417,-300.65605368171,282.6364828393166
Kepler-305 b,2013,323.1767061960636,-577.682230976007,562.2209139794129
Kepler-305 c,2013,323.1767061960636,-577.682230976007,562.2209139794129
Kepler-305 d,2014,323.1767061960636,-577.682230976007,562.2209139794129
Kepler-305 e,2020,323.1767061960636,-577.682230976007,562.2209139794129
Kepler-306 b,2014,187.20919892225012,-558.255457166833,504.95690056017605
Kepler-306 c,2014,187.20919892225012,-558.255457166833,504.95690056017605
Kepler-306 d,2014,187.20919892225012,-558.255457166833,504.95690056017605
